"Gene ID","Product","Evidence Code","Reference","Support for Evidence Code Assignment","Transcript ID(s)"
"PF3D7_1476400","serine/threonine protein kinase, FIKK family, pseudogene","IDA","PMID:17181785","N/A","PF3D7_1476400.1"
"PF3D7_1476600","Plasmodium exported protein, unknown function","RCA","PMID:16507167","N/A","PF3D7_1476600.1"
"PF3D7_1477000","Plasmodium exported protein (hyp17), unknown function, pseudogene","RCA","PMID:16507167","N/A","PF3D7_1477000.1"
"PF3D7_1478100","Plasmodium exported protein (hyp13), unknown function","RCA","PMID:16507167","N/A","PF3D7_1478100.1"
"PF3D7_1478500","Plasmodium exported protein (PHISTa), unknown function, pseudogene","N/A","N/A","N/A","PF3D7_1478500.1"
"PF3D7_1478600","EMP1-trafficking protein","IDA","PMID:23683579","N/A","PF3D7_1478600.1"
"PF3D7_1479400","rifin","IDA","PMID:10430943","N/A","PF3D7_1479400.1"
"PF3D7_1479500","stevor","N/A","N/A","N/A","PF3D7_1479500.1"
"PF3D7_1479700","rifin","IDA","PMID:25751816","N/A","PF3D7_1479700.1"
"PF3D7_1479800","rifin","IDA","PMID:10430943","N/A","PF3D7_1479800.1"
"PF3D7_1479900","stevor","N/A","N/A","N/A","PF3D7_1479900.1"
